,Total,Reserve,Dispatch
G1,120.0,120.0,0.0
G2,120.0,120.0,0.0
G3,-1461.4987900000015,8540.0,-10001.498790000001
G4,-7783.26354,35820.0,-43603.26354
G5,7166.119259999999,8820.0,-1653.8807400000017
G6,0.0,0.0,0.0
G7,0.0,0.0,0.0
G8,43200.0,0.0,43200.0
G9,48480.0,0.0,48480.0
G10,75744.0,0.0,75744.0
G11,0.0,0.0,0.0
G12,0.0,0.0,0.0
W1,33019.842196388316,0.0,33019.842196388316
W2,29043.256856476968,0.0,29043.256856476968
W3,27683.500009457657,0.0,27683.500009457657
W4,33795.420386688565,0.0,33795.420386688565
W5,31394.88964419535,0.0,31394.88964419535
W6,33253.20460877802,0.0,33253.20460877802
